[Tue Jan 07 00:51:35.345742 2020] [proxy_fcgi:error] [pid 1167:tid 140252114667264] (22)Invalid argument: [client 172.17.0.1:51272] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Tue Jan 07 00:53:56.192041 2020] [proxy_fcgi:error] [pid 1167:tid 140251938903808] [client 172.17.0.1:51504] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Tue Jan 07 00:53:56.192279 2020] [proxy_fcgi:error] [pid 1167:tid 140251938903808] (22)Invalid argument: [client 172.17.0.1:51504] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Tue Jan 07 00:54:19.714538 2020] [proxy_fcgi:error] [pid 1166:tid 140251964081920] [client 172.17.0.1:51592] AH01068: Got bogus version 45, referer: http://customizer.local/wp-admin/post.php?post=58&action=edit
[Tue Jan 07 00:54:19.714867 2020] [proxy_fcgi:error] [pid 1166:tid 140251964081920] (22)Invalid argument: [client 172.17.0.1:51592] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/post.php?post=58&action=edit
[Tue Jan 07 00:54:34.839311 2020] [proxy_fcgi:error] [pid 1166:tid 140252123059968] [client 172.17.0.1:51708] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Tue Jan 07 00:54:34.839496 2020] [proxy_fcgi:error] [pid 1166:tid 140252123059968] (22)Invalid argument: [client 172.17.0.1:51708] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Tue Jan 07 00:55:57.356252 2020] [proxy_fcgi:error] [pid 1166:tid 140251896940288] [client 172.17.0.1:52486] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Tue Jan 07 00:55:57.356459 2020] [proxy_fcgi:error] [pid 1166:tid 140251896940288] (22)Invalid argument: [client 172.17.0.1:52486] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Tue Jan 07 15:44:17.688924 2020] [proxy_fcgi:error] [pid 1167:tid 140251913725696] [client 172.17.0.1:53056] AH01068: Got bogus version 111, referer: http://customizer.local/wp-admin/plugin-install.php?s=cs&tab=search&type=term
[Tue Jan 07 15:44:17.689096 2020] [proxy_fcgi:error] [pid 1167:tid 140251913725696] (22)Invalid argument: [client 172.17.0.1:53056] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/plugin-install.php?s=cs&tab=search&type=term
[Thu Jan 09 16:27:39.123919 2020] [proxy_fcgi:error] [pid 1166:tid 140251964081920] [client 172.17.0.1:36258] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Thu Jan 09 16:27:39.124185 2020] [proxy_fcgi:error] [pid 1166:tid 140251964081920] (22)Invalid argument: [client 172.17.0.1:36258] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Thu Jan 09 17:55:35.066687 2020] [proxy_fcgi:error] [pid 1167:tid 140251863369472] [client 172.17.0.1:43862] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Thu Jan 09 17:55:35.066982 2020] [proxy_fcgi:error] [pid 1167:tid 140251863369472] (22)Invalid argument: [client 172.17.0.1:43862] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Thu Jan 09 17:57:08.733748 2020] [proxy_fcgi:error] [pid 1166:tid 140251930511104] [client 172.17.0.1:44526] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Thu Jan 09 17:57:08.735364 2020] [proxy_fcgi:error] [pid 1166:tid 140251930511104] (22)Invalid argument: [client 172.17.0.1:44526] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Thu Jan 09 18:03:15.183029 2020] [proxy_fcgi:error] [pid 1166:tid 140251888547584] [client 172.17.0.1:45190] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Thu Jan 09 18:03:15.183352 2020] [proxy_fcgi:error] [pid 1166:tid 140251888547584] (22)Invalid argument: [client 172.17.0.1:45190] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2F
[Sat Jan 11 01:58:16.799003 2020] [proxy_fcgi:error] [pid 1167:tid 140251947296512] [client 172.17.0.1:54770] AH01068: Got bogus version 53, referer: http://customizer.local/wp-admin/index.php
[Sat Jan 11 01:58:16.814349 2020] [proxy_fcgi:error] [pid 1167:tid 140251947296512] (22)Invalid argument: [client 172.17.0.1:54770] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/index.php
[Sat Jan 11 01:58:21.643172 2020] [proxy_fcgi:error] [pid 1166:tid 140251930511104] [client 172.17.0.1:55010] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Sat Jan 11 01:58:21.671478 2020] [proxy_fcgi:error] [pid 1166:tid 140251930511104] (22)Invalid argument: [client 172.17.0.1:55010] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Sat Jan 11 02:18:49.329320 2020] [proxy_fcgi:error] [pid 1166:tid 140252123059968] [client 172.17.0.1:55440] AH01068: Got bogus version 116, referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Sat Jan 11 02:18:49.329525 2020] [proxy_fcgi:error] [pid 1166:tid 140252123059968] (22)Invalid argument: [client 172.17.0.1:55440] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/customize.php?url=http%3A%2F%2Fcustomizer.local%2Fabout-page%2F
[Sat Jan 11 02:19:35.402173 2020] [proxy_fcgi:error] [pid 1166:tid 140251922118400] [client 172.17.0.1:55660] AH01068: Got bogus version 53, referer: http://customizer.local/wp-admin/plugins.php
[Sat Jan 11 02:19:35.402384 2020] [proxy_fcgi:error] [pid 1166:tid 140251922118400] (22)Invalid argument: [client 172.17.0.1:55660] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://customizer.local/wp-admin/plugins.php
